let,num
1,0
Аб,0
Ав,22
Аг,56
Ад,96
Аз,120
Ай,136
Ак,141
Ал,171
Ам,338
Ан,364
Ае,601
Ан,602
Ап,605
Ар,633
Ас,769
Ат,779
Аф,789
Аэ,824
Ба,829
Бе,876
Би,911
Бо,933
Бр,1005
Бу,1028
Ва,1053
Ве,1283
Ви,1368
Вл,1454
Во,1481
Вс,1528
Вы,1537
Вя,1542
Га,1564
Гв,1636
Гд,1661
Ге,1666
Ги,1766
Гл,1773
Го,1778
Гр,1802
Гу,1858
Да,1863
Дв,1944
Де,1949
Дж,1980
Ди,1998
Дм,2021
До,2038
Ду,2056
Ев,2083
Ег,2172
Ек,2186
Ел,2195
Ем,2227
Ен,2236
Ер,2240
Еф,2276
Жа,2294
Же,2303
Жм,2327
Жо,2332
Жу,2341
За,2345
Зе,2388
Зи,2392
Зо,2427
Ив,2435
Иг,2454
Из,2489
Ил,2493
Ин,2523
Ио,2577
Ип,2590
Ир,2599
Ис,2652
Ит,2665
Иу,2674
Йе,2683
Йо,2688
Ка,2693
Ке,2875
Ки,2881
Кл,2917
Ко,2963
Кр,3073
Кс,3088
Ку,3114
Ла,3144
Ле,3183
Ли,3247
Ло,3321
Лу,3336
Ль,3378
Лю,3387
Ма,3432
Ме,3667
Ми,3712
Мо,3762
На,3823
Не,3915
Ни,3934
Но,4013
Ня,4021
Об,4023
Од,4025
Ок,4030
Ол,4058
Он,4089
Ор,4098
Ос,4108
От,4125
Па,4130
Пе,4214
Пи,4288
Пл,4301
Пн,4304
По,4308
Пр,4360
Пы,4450
Ра,4455
Ри,4472
Ро,4486
Ру,4531
Ря,4542
Са,4544
Св,4637
Се,4670
Си,4759
Ск,4804
Сл,4808
Со,4821
Сп,4843
Ср,4862
Ст,4865
Су,4914
Сы,4947
Сю,4954
Та,4959
Тв,5039
Те,5041
Ти,5059
То,5095
Тр,5114
Ту,5143
Ты,5171
Тю,5176
Уг,5178
Уд,5183
Ук,5187
Ул,5192
Ур,5201
Ус,5209
Уф,5212
Ух,5217
Фа,5222
Фе,5244
Фи,5330
Фл,5353
Фо,5366
Фр,5375
Фу,5383
Ха,5388
Хи,5406
Хо,5417
Це,5424
Цу,5437
Че,5442
Чи,5486
Чу,5491
Ша,5510
Шв,5532
Ши,5540
Шо,5550
Шу,5557
Эв,5567
Эд,5572
Эл,5581
Эм,5610
Эр,5640
Эс,5645
Эт,5649
Эф,5654
Юв,5658
Юг,5671
Юл,5675
Юн,5710
Юр,5715
Ют,5746
Яв,5751
Яд,5756
Як,5761
Ял,5774
Ям,5779
Яп,5784
Яр,5788
Яс,5792
Яу,5795
Ях,5800
Яш,5805
аб,5808
ав,6891
аг,8935
ад,9700
аж,10721
аз,10751
аи,11162
ай,11183
ак,11264
ал,13407
ам,14876
ан,16122
ао,20120
ап,20165
ар,21076
ас,23418
ат,24797
ау,25511
аф,25824
ах,26250
ац,26388
ач,26594
аш,26606
аэ,26630
ба,26983
бд,32334
бж,32342
бд,32343
бе,32382
би,43054
бь,44640
би,44646
бь,44653
би,44659
бл,44776
бо,47880
бр,52229
бе,53030
бр,53036
бе,53040
бр,53046
бу,56061
бы,59523
бу,60164
бы,60170
бь,60268
бю,60292
бя,60505
ва,60528
вб,62980
вв,63345
вг,64543
вд,64761
ве,66094
вж,71549
вз,71839
ви,77821
вь,80482
ви,80488
вь,80492
ви,80498
вк,80788
вл,82301
вм,83805
вн,84620
во,86286
вп,99889
вр,102061
вс,103583
вт,109048
ву,110696
вх,111041
вц,111113
вч,111216
вш,111364
въ,111496
вы,111659
во,139568
вы,139577
вь,143252
вя,143451
га,143929
гв,147279
гд,147484
ге,147496
гж,149736
ги,149750
гл,152220
гн,154243
го,154271
гн,154277
го,154281
гн,154287
го,155062
гр,159324
гу,164374
гю,165718
да,165723
дв,167112
де,170850
дн,175277
де,175286
дж,178190
дз,178317
ди,178340
дл,181980
дм,182407
дн,182419
до,182583
др,198566
де,199192
др,199198
де,199202
др,199208
ду,201002
дщ,202847
ды,202853
дь,203254
дю,203342
дя,203492
ев,203595
ег,203843
ед,203982
еж,204470
ез,204757
ей,204861
ек,204873
ел,204966
ем,205157
ен,205191
еп,205242
ер,205319
ес,205649
еф,205761
ех,205773
ед,205789
ех,205795
жа,205901
жв,206881
жг,206902
жд,206948
же,206982
жу,207038
же,207047
жу,207051
же,207052
жж,208839
жи,208872
жл,210143
жм,210155
жн,210277
жо,210307
жр,210403
жу,210478
за,210901
зв,268959
зо,269023
зв,269029
зо,269034
зв,269040
зд,269978
зе,270255
зи,271371
зл,271647
зм,272665
зн,272809
зо,273451
зр,274393
зу,274600
зы,275043
зэ,275183
зю,275195
зя,275224
иб,275325
